player_name,hand,height_cm,wingspan_cm,nationality
Lukas Lacko,R,185.0,,SVK
Lukas Rosol,R,193.0,,CZE
Lukasz Kubot,R,190.0,,POL
Luke Jensen,U,190.0,,USA
Mackenzie Mcdonald,R,178.0,,USA
Magnus Gustafsson,R,185.0,,SWE
Magnus Larsson,R,193.0,,SWE
Magnus Norman,R,188.0,,SWE
Malek Jaziri,R,185.0,,TUN
Malivai Washington,R,180.0,,USA
Mao Xin Gong,R,178.0,,CHN
Marat Safin,R,193.0,,RUS
Marc Andrea Huesler,L,196.0,,SUI
Marc Gicquel,R,188.0,,FRA
Marc Kevin Goellner,R,196.0,,GER
Marc Rosset,R,201.0,,SUI
Marcel Granollers,R,190.0,,ESP
Marcello Craca,R,180.0,,GER
Marcelo Charpentier,L,180.0,,ARG
Marcelo Filippini,R,178.0,,URU
Marcelo Rios,L,175.0,183.0,CHI
Marcio Carlsson,R,175.0,,BRA
Marco Cecchinato,R,185.0,,ITA
Marco Chiudinelli,R,185.0,,SUI
Marco Crugnola,R,188.0,,ITA
Marco Meneschincheri,L,180.0,,ITA
Marco Trungelliti,R,178.0,,ARG
Marcos Aurelio Gorriz,L,185.0,,ESP
Marcos Baghdatis,R,183.0,,CYP
Marcos Daniel,R,180.0,,BRA
Marcos Giron,R,180.0,,USA
Marcos Ondruska,R,183.0,,RSA
Mardy Fish,R,188.0,183.0,USA
Marian Vajda,R,173.0,,SVK
Mariano Navone,R,178.0,,ARG
Mariano Puerta,L,180.0,,ARG
Mariano Zabaleta,R,183.0,,ARG
Marin Cilic,R,198.0,196.0,CRO
Marinko Matosevic,R,194.0,,AUS
Mario Ancic,R,196.0,,CRO
Marius Copil,R,191.0,,ROU
Mark Kaplan,R,185.0,,RSA
Mark Knowles,R,190.0,,BAH
Mark Koevermans,R,185.0,,NED
Mark Kratzmann,L,178.0,,AUS
Mark Merklein,R,188.0,,BAH
Mark Petchey,R,183.0,,GBR
Mark Philippoussis,R,196.0,193.0,AUS
Mark Woodforde,L,188.0,,AUS
Markus Hantschk,R,188.0,,GER
Markus Hipfl,R,178.0,,AUT
Markus Naewie,R,190.0,,GER
Markus Zillner,L,178.0,,GER
Markus Zoecke,R,196.0,,GER
Marsel Ilhan,R,190.0,,TUR
Martin Blackman,R,188.0,,USA
Martin Damm,L,203.0,,USA
Martin Damm Sr,R,188.0,,CZE
Martin Jaite,R,178.0,,ARG
Martin Klizan,L,191.0,,SVK
Martin Landaluce,R,191.0,,ESP
Martin Laurendeau,R,190.0,,CAN
Martin Lee,L,180.0,,GBR
Martin Sinner,R,180.0,,GER
Martin Strelba,R,190.0,,CZE
Martin Vassallo Arguello,R,183.0,,ARG
Martin Verkerk,R,196.0,,NED
Martin Wostenholme,R,183.0,,CAN
Marton Fucsovics,R,188.0,,HUN
Marzio Martelli,R,180.0,,ITA
Mashiska Washington,R,180.0,,USA
Massimo Cierro,R,173.0,,ITA
Massimo Dellacqua,R,193.0,,ITA
Mats Wilander,R,183.0,183.0,SWE
Matteo Arnaldi,R,185.0,,ITA
Matteo Berrettini,R,196.0,193.0,ITA
Matteo Donati,R,185.0,,ITA
Matteo Gigante,L,180.0,,ITA
Matteo Viola,R,188.0,,ITA
Matthew Ebden,R,188.0,,AUS
Matthias Bachinger,R,188.0,,GER
Mattia Bellucci,L,175.0,,ITA
